DATAFLOW,LAST UPDATE,freq,unit,mot_nrg,engine,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2014,378053,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2015,403630,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2016,435613,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2017,417426,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2018,460027,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2019,499590,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2020,539497,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2021,593280,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2022,639379,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Albania,2023,699337,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2014,4694921,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2015,4748048,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2016,4821557,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2017,4898578,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2018,4978852,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2019,5039548,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2020,5091827,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2021,5133836,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2022,5150890,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Austria,2023,5185006,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2014,799891,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2015,827224,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2016,859975,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2017,882999,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2018,919226,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2019,939283,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2020,936417,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2021,983077,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2022,1006142,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2023,1044950,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2014,5584690,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2015,5662059,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2016,5731292,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2017,5798939,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2018,5848425,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2019,5881874,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2020,5897488,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2021,5926009,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2022,5955127,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Belgium,2023,6047551,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2014,3013863,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2015,3162037,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2016,3143568,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2017,2770615,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2018,2773325,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2019,2829946,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2020,2866763,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2021,2830464,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2022,2896777,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Bulgaria,2023,3006215,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2014,4431886,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2015,4508898,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2016,4578963,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2017,4630054,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2018,4666278,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2019,4692741,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2020,4733517,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2021,4793803,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2022,4812896,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Switzerland,2023,4861544,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2014,478492,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2015,487692,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2016,508284,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2017,526617,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2018,550695,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2019,572501,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2020,578158,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2021,592156,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2022,601131,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Cyprus,2023,621116,s
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Czechia,2014,4833386,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Czechia,2015,5115316,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Czechia,2016,5307808,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Czechia,2017,5538222,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Czechia,2018,5747913,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Czechia,2019,5924995,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Czechia,2020,6049255,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Czechia,2021,6088730,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Czechia,2022,6305934,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Czechia,2023,6512774,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Germany,2014,44403000,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Germany,2015,45071000,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Germany,2016,45803560,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Germany,2017,46474594,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Germany,2018,47095784,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Germany,2019,47715977,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Germany,2020,48248584,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Germany,2021,48540878,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Germany,2022,48763036,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Germany,2023,49098685,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Denmark,2014,2319207,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Denmark,2015,2390823,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Denmark,2016,2465534,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Denmark,2017,2530052,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Denmark,2018,2594482,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Denmark,2019,2651741,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Denmark,2020,2723612,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Denmark,2021,2787553,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Denmark,2022,2801076,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Denmark,2023,2827864,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Estonia,2014,652950,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Estonia,2015,676596,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Estonia,2016,703151,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Estonia,2017,725944,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Estonia,2018,746464,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Estonia,2019,794926,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Estonia,2020,808689,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Estonia,2021,825936,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Estonia,2022,849294,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Estonia,2023,865773,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Greece,2014,5110873,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Greece,2015,5107620,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Greece,2016,5160056,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Greece,2017,5235928,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Greece,2018,5282695,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Greece,2019,5406551,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Greece,2020,5492176,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Greece,2021,5604192,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Greece,2022,5726012,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Greece,2023,5877759,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Spain,2014,22029512,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Spain,2015,22355549,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Spain,2016,22876830,s
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Spain,2017,24676557,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Spain,2018,25304190,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Spain,2019,25836586,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Spain,2020,26034347,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Spain,2021,26293882,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Spain,2022,26605478,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Spain,2023,26778142,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,European Union - 27 countries (from 2020),2014,224317337,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,European Union - 27 countries (from 2020),2015,225651590,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,European Union - 27 countries (from 2020),2016,230249119,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,European Union - 27 countries (from 2020),2017,236047946,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,European Union - 27 countries (from 2020),2018,240409941,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,European Union - 27 countries (from 2020),2019,244850251,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,European Union - 27 countries (from 2020),2020,247656045,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,European Union - 27 countries (from 2020),2021,250246879,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,European Union - 27 countries (from 2020),2022,252612228,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,European Union - 27 countries (from 2020),2023,256538568,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Finland,2014,3172735,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Finland,2015,3234860,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Finland,2016,3322672,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Finland,2017,3398937,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Finland,2018,3470507,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Finland,2019,3549803,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Finland,2020,3607531,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Finland,2021,3641532,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Finland,2022,3673750,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Finland,2023,3718278,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,France,2014,36647883,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,France,2015,37180101,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,France,2016,37673476,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,France,2017,38117663,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,France,2018,38229305,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,France,2019,38421218,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,France,2020,38467643,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,France,2021,38814659,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,France,2022,38856492,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,France,2023,39511536,s
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Georgia,2014,821100,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Georgia,2015,894700,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Georgia,2016,973300,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Georgia,2017,1030421,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Georgia,2018,1085638,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Georgia,2019,1190070,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Georgia,2020,1190070,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Georgia,2021,1265867,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Georgia,2022,1333012,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Georgia,2023,1438585,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Croatia,2014,1474495,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Croatia,2015,1499802,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Croatia,2016,1552904,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Croatia,2017,1596087,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Croatia,2018,1666413,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Croatia,2019,1724900,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Croatia,2020,1746285,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Croatia,2021,1795465,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Croatia,2022,1840767,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Croatia,2023,1910131,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Hungary,2014,3107695,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Hungary,2015,3196856,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Hungary,2016,3313206,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Hungary,2017,3471997,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Hungary,2018,3641823,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Hungary,2019,3812013,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Hungary,2020,3920799,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Hungary,2021,4020159,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Hungary,2022,4094129,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Hungary,2023,4168651,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Ireland,2014,2018310,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Ireland,2015,2060170,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Ireland,2016,2102720,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Ireland,2017,2142390,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Ireland,2018,2182920,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Ireland,2019,2253210,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Ireland,2020,2291940,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Ireland,2021,2309760,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Ireland,2022,2335130,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Ireland,2023,2418947,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Iceland,2017,257100,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Iceland,2018,267467,
ESTAT:ROAD_EQS_CARMOT(1.0),17/10/24 23:00:00,Annual,Number,Total,Total,Iceland,2019,269825,
